Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,12801551,Veniamin_Nelin,"2025-10-05 02:28:02",1.00000,195,veniaminnelin
2,12408744,n3onnhowever,"2025-10-05 16:45:42",1.00000,60,n3onnhowever
3,12689008,"hato bai","2025-09-25 00:30:49",1.00000,26,hatobai
4,14234877,FF.,"2025-08-09 03:46:25",1.00000,12,fener2504
5,14118222,HaohuanChen,"2025-09-19 03:22:58",1.00000,20,haohuanchen
6,14238166,"Isaac Matthew Thorne","2025-08-09 16:49:41",1.00000,1,isaacmatthewthorne
7,14238168,"Raj Sethupathi","2025-08-09 16:49:57",1.00000,1,rajsethupathi
8,3760395,usharengaraju,"2025-08-09 16:50:16",1.00000,1,usharengaraju
9,14238171,"Chintamani Lonkar","2025-08-09 16:50:21",1.00000,1,chintamanilonkar
10,1169701,BigDataAnalytics,"2025-08-09 16:50:44",1.00000,1,jgskaggle
11,14238175,"Prasad GVS","2025-08-09 16:51:13",1.00000,1,prasadgvs
12,14238183,ramlal,"2025-08-09 16:52:42",1.00000,1,ramco3
13,14238190,swatpabb,"2025-08-09 16:55:12",1.00000,1,swatpabb
14,7328974,"Vsevolod Kachan","2025-08-11 11:57:24",1.00000,1,vsevolodkachan
15,14256574,"Branny Bear","2025-08-14 08:27:04",1.00000,1,brannybear
16,13296257,"Amr El3RAB","2025-10-01 19:35:42",1.00000,3,el3rab
17,14246872,"Muhammad Dzaky Haidar","2025-08-14 11:44:30",1.00000,2,anekazek
18,14259028,李思远,"2025-08-15 08:10:05",1.00000,3,lisiyuan001
19,14264571,"shiovana silva","2025-08-20 00:21:41",1.00000,9,shiovanasilva
20,2170028,TC0406,"2025-08-17 08:26:47",1.00000,4,tc0406
21,14057748,"Fedja Kadribasic","2025-08-18 23:55:50",1.00000,79,fedjakadribasic
22,14247006,"Andrew Williams Ponce","2025-09-09 23:24:53",1.00000,33,andrewwilliamsponce
23,14275824,"Pranav Patil1","2025-08-20 07:21:09",1.00000,4,pranav1753
24,14282009,"Samriddhi Yadav","2025-08-20 16:25:39",1.00000,3,samriddhiyadav24
25,14286215,"Nasbeer Ahammed","2025-08-21 15:59:04",1.00000,3,nasbeerahammed
26,1811600,johnt666,"2025-08-21 21:14:53",1.00000,3,johnt666
27,14290377,"Shahriyar Al Mustakim Mitul","2025-08-22 20:36:17",1.00000,9,mitul3737
28,14158241,alisalmanrana,"2025-08-23 15:58:18",1.00000,1,alisalmanrana
29,6497188,"mos3 santos","2025-09-11 17:13:53",1.00000,10,mos3santos
30,14310950,"Nirdesh Patel","2025-08-28 07:01:56",1.00000,4,nirdeshpatel
31,14312998,"Abdul Rahman Azam 1","2025-08-28 19:16:44",1.00000,5,abdulrahmanazam1
32,14315785,"Murapaka Sai Sri Sushma","2025-08-29 16:22:25",1.00000,1,murapakasaisrisushma
33,14315745,"Petar Bulatovic","2025-08-29 16:29:05",1.00000,4,petarbulatovic
34,14316733,"Abhinay reddy Yannam","2025-08-30 01:52:48",1.00000,1,abhinayreddyyannam
35,14314255,TPhiLong,"2025-08-30 05:05:45",1.00000,7,tphilong
36,14318757,Ch.BhanuPrakash_31027,"2025-08-30 17:09:06",1.00000,1,chbhanuprakash31027
37,14326352,"Ahmed Abdul Jawad18","2025-09-02 15:55:13",1.00000,2,ahmedabduljawad18
38,14298690,"ahmet safak","2025-09-02 18:57:19",1.00000,2,ahmetsafak
39,5152822,3mmar,"2025-09-03 19:15:33",1.00000,1,ammarabsawy
40,14335651,"Shaik Rizwana","2025-09-04 08:10:52",1.00000,1,rizwana1319
41,14345241,"try #2","2025-09-06 13:30:29",1.00000,1,ibrahimqasimi
42,14351518,"Zhenyu LUO","2025-09-14 14:09:47",1.00000,37,zhuyanliu
43,14352357,selylime,"2025-09-26 10:09:10",1.00000,2,selylime
44,14353038,Thomas-train,"2025-09-08 11:31:06",1.00000,2,thomaslu
45,8683495,"💥Tesla, Inc.💥","2025-09-10 13:29:56",1.00000,2,alanjo
46,14352574,"Qiyan Wei 1","2025-09-15 16:29:26",1.00000,7,qiyanwei1
47,14353370,"Esteban Steen","2025-09-10 10:27:01",1.00000,21,estebansteen
48,14366783,"Jun Ideal","2025-09-11 05:15:41",1.00000,5,junideal
49,14356364,"Nnamani Ugochukwu","2025-09-11 13:54:08",1.00000,12,nnamaniugochukwu
50,14374425,Anqicc,"2025-09-13 05:10:19",1.00000,3,anqicc
51,14352923,"Zheng Tianchen","2025-09-14 04:25:52",1.00000,11,mavercikz
52,14379279,"[Deleted] 2e072141-48d1-4145-b821-2e967dc75e61","2025-09-14 16:41:18",1.00000,2,del=928622ea88dc794c
53,13529434,"Hisham Mislhy","2025-09-17 01:11:35",1.00000,1,hishamx777
54,14403377,"Yuyi Zhu","2025-09-19 05:33:36",1.00000,3,yuyizhu
55,14037607,"Sumit Bhardwaj","2025-09-19 12:23:12",1.00000,3,sumit12100012
56,14406787,"Anny Lin","2025-09-19 21:51:48",1.00000,3,annylin99
57,14410527,"Simon Huang 1025","2025-09-20 20:02:59",1.00000,3,simonhuang1025
58,14410716,"Suraj Shrestha #2","2025-09-20 21:58:47",1.00000,3,surajshrestha07
59,14411457,MuaazSadiq25,"2025-09-21 05:29:25",1.00000,3,muaazsadiq25
60,14406484,"seddik turki","2025-09-21 19:30:52",1.00000,8,seddiktrk
61,14414325,ChenGong24Trine,"2025-09-21 19:35:02",1.00000,3,chengong24trine
62,14414867,yixiong301,"2025-09-22 00:52:51",1.00000,3,yixiong301
63,14415226,"Uchenna Arinze","2025-09-22 03:13:47",1.00000,3,uchennauarinze
64,14402808,Nassys,"2025-09-22 07:28:47",1.00000,29,nassys
65,14415300,"Weibo Lin","2025-09-22 03:50:35",1.00000,3,weibolin
66,14415341,"Yang-Jie Lin","2025-09-22 04:06:25",1.00000,4,yangjielin
67,14415976,"Mohammed Mazher Uddin","2025-09-22 06:59:35",1.00000,3,mohammedmazheruddin
68,14416218,"Mazhar Ali Mohammad","2025-09-22 07:53:59",1.00000,3,mazharalimohammad
69,13324849,"Akhila Dubbaka","2025-09-22 11:49:13",1.00000,1,akhiladubbaka
70,14417284,"Jyoshna Electric","2025-09-22 11:55:34",1.00000,3,jyoshnaelectric
71,14418169,"Yiwei Zhou","2025-09-22 15:05:59",1.00000,3,yzhou65
72,14418558,"Zhicong Ma","2025-09-22 16:07:10",1.00000,3,zhicongmatrineis5213
73,14418632,"Jasminkumar Patel","2025-09-22 16:18:47",1.00000,3,jasminkumarpatel
74,14418690,"Danxue Zhou","2025-09-22 17:21:17",1.00000,7,danxuezhou
75,14419016,"Ziyuan Tang","2025-09-22 17:48:06",1.00000,6,ysyhl9days
76,14419981,"Nithin Reddy Mothe","2025-09-22 21:03:35",1.00000,3,nithinreddymothe
77,14420006,"zihao li 6","2025-09-22 21:13:26",1.00000,3,zihaoli6
78,14420016,"Pramila Pradhan","2025-09-22 21:17:05",1.00000,3,pramilapradhan
79,14420118,"Hemant 1579","2025-09-22 21:56:21",1.00000,3,hemant1579
80,14420233,"Suraj Singh7991","2025-09-22 22:47:42",1.00000,3,surajsingh7991
81,14420325,Wocnm0909&&,"2025-09-22 23:23:44",1.00000,3,wocnm0909
82,14420470,"Qimin Zhang","2025-09-23 00:32:21",1.00000,3,qiminzhangtrine
83,14420574,Fighoture,"2025-09-23 01:10:05",1.00000,3,fighoture
84,14420694,"Nelly Chango","2025-09-23 01:51:08",1.00000,3,nellychango
85,14420955,pedropmramos,"2025-09-23 02:58:05",1.00000,3,pedropmramos
86,14421066,PeteZhon,"2025-09-23 03:26:14",1.00000,3,petezhon
87,14421077,"Yining Li0610","2025-09-23 03:34:28",1.00000,4,yiningli0610
88,14421225,"Siyuan Chen","2025-09-23 04:05:03",1.00000,3,caucasuschen
89,14421262,"Arunkumar Ponnusamy","2025-09-23 04:12:20",1.00000,3,arunkumarponnusamy
90,14421289,"Sujan Dhakal","2025-09-23 04:21:53",1.00000,3,sujandhakal7
91,14421528,"Pradeepthi Muntha","2025-09-23 05:16:15",1.00000,3,pradeepthimuntha
92,14423098,NooriShaikTrine,"2025-09-23 10:34:53",1.00000,3,noorishaiktrine
93,14424346,YashRMishra,"2025-09-23 14:48:02",1.00000,3,yashrmishra
94,14424948,"Sikha Shrestha","2025-09-23 16:54:50",1.00000,3,sikhashrestha
95,14425059,"Chris Molina","2025-09-23 17:23:31",1.00000,3,chrismolina25
96,14425073,JarinH,"2025-09-23 17:26:33",1.00000,3,jarinth
97,14425303,"Abubakr Siddique","2025-09-23 18:28:07",1.00000,3,abubakr12
98,14425353,"John Wrachford","2025-09-23 18:39:18",1.00000,3,johnwrachford
99,14425414,"Shangpeng Guo","2025-09-23 18:54:52",1.00000,3,shangpengguo
100,14426165,"Adeel Nordin","2025-09-23 22:24:10",1.00000,3,adeelnordin
101,14426250,"Napat Kulruchakorn","2025-09-23 23:16:38",1.00000,1,earthkul
102,14426268,Divyanshee7,"2025-09-23 23:25:16",1.00000,3,divyanshee7
103,14426335,she2025,"2025-09-23 23:50:58",1.00000,3,she2025
104,14426353,YitingZhong98,"2025-09-23 23:56:32",1.00000,3,yitingzhong98
105,14426431,"Saurabh Ashok Karanke","2025-09-24 00:30:35",1.00000,3,saurabhashokkaranke
106,14426437,"Zheng Zhihui","2025-09-24 00:34:34",1.00000,3,zhengzhihui
107,14426603,"Jiepeng Zhu","2025-09-24 01:36:20",1.00000,3,jiepengzhu
108,14426643,Saivalini,"2025-09-24 01:52:48",1.00000,3,saivalini
109,14420526,"Trang (Chloe) Thu Vu","2025-09-24 01:55:26",1.00000,3,trangchloethuvu
110,14426662,"Mutian Pan","2025-09-24 02:01:57",1.00000,3,mutianpan
111,14426824,"Lingqiong You","2025-09-24 02:35:26",1.00000,3,lingqiongyou
112,14426860,"Jianying Zhu","2025-09-24 02:42:30",1.00000,3,jianyingzhu
113,14426966,"Di Wu #3","2025-09-24 03:13:49",1.00000,3,dwu241
114,14427001,"Mohammed AlKaseri","2025-09-24 03:24:00",1.00000,3,mohammedalkaseri
115,14427006,Yash.Yadav.2000,"2025-09-24 03:25:19",1.00000,4,yashyadav2000
116,14427015,"Yujie Wang","2025-09-24 03:29:32",1.00000,4,yujiewang718
117,14427099,"Yuqi Wan (Trine)","2025-09-24 03:53:47",1.00000,3,yuqiwantrine
118,14427207,"Jicheng Lu","2025-09-24 04:28:03",1.00000,3,jichenglu
119,14427362,"Sameer Khan Mohammed ","2025-09-24 05:01:16",1.00000,3,mohammadkhansameer
120,14427410,"Yili Sun","2025-09-24 05:14:16",1.00000,3,yilisun
121,14427450,"Yizhe Y","2025-09-24 05:23:33",1.00000,4,yizhey
122,14427565,"Ahmed syed Moiz","2025-09-24 05:54:57",1.00000,3,ahmedsyedmoiz
123,14427618,"Zhi Fang Tan","2025-09-24 06:07:04",1.00000,3,zhifang
124,14427662,"Yingjing Jiang #2","2025-09-24 06:17:54",1.00000,3,yingjingjiang22
125,14427852,"Qi Huang","2025-09-24 06:46:43",1.00000,3,qileohuang
126,14427982,"Fnu Afra Rahman","2025-09-24 07:14:14",1.00000,3,fnuafrarahman
127,14428232,"Fahad Moin Mohammed","2025-09-24 07:49:02",1.00000,3,fahadmoinmohammed
128,14428274,XuanLi_247,"2025-09-24 07:59:03",1.00000,3,xuanli247
129,14428363,"Aftab Bin Akber","2025-09-24 08:13:57",1.00000,3,aftabbinakber
130,14428381,"Jingrong Yang","2025-09-24 08:17:30",1.00000,3,jingrongyang16
131,14429163,"Thakur Abhishek singh","2025-09-24 11:07:38",1.00000,3,singhabhishekthakur
132,14429170,Akramsiddiquimohammed,"2025-09-24 11:09:39",1.00000,3,akramsiddiqui2024
133,14429176,"Ayesha Anjum ","2025-09-24 11:11:13",1.00000,3,ayeshaanjum96
134,14429181,"Kiran Kumar Vangapandu","2025-09-24 11:13:03",1.00000,3,kirankumarvangapandu
135,14429189,"Ahmad Raza Khan","2025-09-24 11:14:43",1.00000,3,ahmadkhan246
136,14429195,"K Sunhith Reddy ","2025-09-24 11:16:08",1.00000,3,ksunhithreddy
137,14429391,"Venugopal Swarna","2025-09-24 12:05:03",1.00000,3,vswarna25
138,14429411,"Kipketer Victor","2025-09-24 12:12:54",1.00000,3,kipketervictor
139,14429584,"Chenwei Wang #2","2025-09-24 12:54:35",1.00000,3,esonwangcw
140,14430279,"Stefan Sretenovic","2025-09-24 15:06:39",1.00000,3,stefansretenovic
141,14430313,"Caique Macedo","2025-09-24 15:16:58",1.00000,3,caiquemacedo
142,14430387,"Saurav Mainali","2025-09-24 15:33:40",1.00000,3,sauravmainalitrine
143,14430419,IslamMansour2100,"2025-09-24 15:42:34",1.00000,3,islammansour2100
144,14430510,"David O'Mahony","2025-09-24 21:06:48",1.00000,4,wsldave
145,14430521,"Sheena Tabassum","2025-09-24 16:07:56",1.00000,4,sheenatabassum
146,3286681,hxin001,"2025-09-24 16:29:02",1.00000,3,hxin001
147,14430732,"Vineela Gunti","2025-09-24 17:07:15",1.00000,3,vineelagunti
148,14430775,"Sneha Chamakura","2025-09-24 17:17:00",1.00000,3,snehachamakura
149,14430162,"Richa Pokharel","2025-09-24 17:20:25",1.00000,3,richapokharel
150,14430847,"Yuting Qiao","2025-09-24 17:31:56",1.00000,3,yutingqiao
151,14430990,"Ryan Robert Dimayuga","2025-09-24 18:25:11",1.00000,3,ryanrobertdimayuga
152,14431008,"Luyao Tang","2025-09-24 18:32:53",1.00000,3,llouisetang
153,14431100,"bangyao sun","2025-09-24 19:06:55",1.00000,3,bangyaosun
154,14431241,Insiyafatima1,"2025-09-24 19:49:55",1.00000,3,insiyafatima1
155,14431295,"Luyao Wang #4","2025-09-24 20:02:37",1.00000,3,wangluyao141
